Tipo,Clave,Cliente,Nombre,Estatus,Su pedido,Fecha de elaboración,Subtotal,Total de comisiones,Número de almacén,Forma de envío del documento,Importe total,Nombre del vendedor
Pedido,                3844,       289,GD COMERCIALIZADORA SURESTE,Remitido,1125,07/01/2026,"34,400.00","1,720.00",1,Impreso,"39,904.00",Fabiola Hernandez Coronel
Pedido,                3863,       271,GD COMERCIALIZADORA NOROESTE,Remitido,1167,07/01/2026,"87,420.00","4,371.00",1,Impreso,"101,407.20",Fabiola Hernandez Coronel
Pedido,                3854,       289,GD COMERCIALIZADORA SURESTE,Remitido,1159,07/01/2026,"38,915.00","1,945.75",1,Impreso,"45,141.40",Fabiola Hernandez Coronel
Pedido,                3864,       289,GD COMERCIALIZADORA SURESTE,Remitido,1168,07/01/2026,"95,880.00","4,794.00",1,Impreso,"111,220.80",Fabiola Hernandez Coronel
Pedido,                3855,       289,GD COMERCIALIZADORA SURESTE,Remitido,1160,07/01/2026,"64,500.00","3,225.00",1,Impreso,"74,820.00",Fabiola Hernandez Coronel
Pedido,                3853,       289,GD COMERCIALIZADORA SURESTE,Remitido,1158,07/01/2026,"76,970.00","3,848.50",1,Impreso,"89,285.20",Fabiola Hernandez Coronel
Pedido,                3843,       289,GD COMERCIALIZADORA SURESTE,Remitido,1124,07/01/2026,"23,300.00","1,165.00",1,Impreso,"27,028.00",Fabiola Hernandez Coronel
Pedido,                3852,       289,GD COMERCIALIZADORA SURESTE,Remitido,1157,07/01/2026,"20,880.00","1,044.00",1,Impreso,"24,220.80",Fabiola Hernandez Coronel
Pedido,                3842,       289,GD COMERCIALIZADORA SURESTE,Remitido,1123,07/01/2026,"44,852.50","2,242.63",1,Impreso,"52,028.90",Fabiola Hernandez Coronel
Pedido,                3861,       289,GD COMERCIALIZADORA SURESTE,Remitido,1166,07/01/2026,"23,520.00","1,176.00",1,Impreso,"27,283.20",Fabiola Hernandez Coronel
Pedido,                3865,       289,GD COMERCIALIZADORA SURESTE,Remitido,1169,07/01/2026,"51,520.00","2,576.00",1,Impreso,"59,763.20",Fabiola Hernandez Coronel
Pedido,                3846,       271,GD COMERCIALIZADORA NOROESTE,Remitido,1127,07/01/2026,"49,910.00","2,495.50",1,Impreso,"57,895.60",Fabiola Hernandez Coronel
Pedido,                3856,       289,GD COMERCIALIZADORA SURESTE,Remitido,1161,07/01/2026,"28,300.00","1,415.00",1,Impreso,"32,828.00",Fabiola Hernandez Coronel
Pedido,                3866,       289,GD COMERCIALIZADORA SURESTE,Remitido,1200,07/01/2026,"28,800.00","1,440.00",1,Impreso,"33,408.00",Fabiola Hernandez Coronel
Pedido,                3847,       289,GD COMERCIALIZADORA SURESTE,Remitido,1128,07/01/2026,"54,060.00","2,703.00",1,Impreso,"62,709.60",Fabiola Hernandez Coronel
Pedido,                3857,       289,GD COMERCIALIZADORA SURESTE,Remitido,1162,07/01/2026,"45,440.00","2,272.00",1,Impreso,"52,710.40",Fabiola Hernandez Coronel
Pedido,                3838,       289,GD COMERCIALIZADORA SURESTE,Remitido,1119,07/01/2026,"33,900.00","1,695.00",1,Impreso,"39,324.00",Fabiola Hernandez Coronel
Pedido,                3848,       289,GD COMERCIALIZADORA SURESTE,Remitido,1129,07/01/2026,"34,200.00","1,710.00",1,Impreso,"39,672.00",Fabiola Hernandez Coronel
Pedido,                3858,       289,GD COMERCIALIZADORA SURESTE,Remitido,1163,07/01/2026,"19,840.00",992.00,1,Impreso,"23,014.40",Fabiola Hernandez Coronel
Pedido,                3836,        18,DELMAN INTERNACIONAL,Remitido,OP.19805/OC.16417,07/01/2026,"10,304.00",0.00,1,Impreso,"11,952.64",Luis de León
Pedido,                3867,       312,INFORMACION INTEGRAL 24/7,Remitido,27,07/01/2026,"13,312.00",0.00,1,Ninguno,"15,441.92",
Pedido,                3885,       289,GD COMERCIALIZADORA SURESTE,Remitido,1254,07/01/2026,"33,900.00","1,695.00",1,Impreso,"39,324.00",Fabiola Hernandez Coronel
Pedido,                3880,       289,GD COMERCIALIZADORA SURESTE,Remitido,1249,07/01/2026,"26,900.00","1,345.00",1,Ninguno,"31,204.00",Fabiola Hernandez Coronel
Pedido,                3871,       289,GD COMERCIALIZADORA SURESTE,Remitido,1240,07/01/2026,"85,635.00","4,281.75",1,Ninguno,"99,336.60",Fabiola Hernandez Coronel
Pedido,                3881,       289,GD COMERCIALIZADORA SURESTE,Remitido,1250,07/01/2026,"29,700.00","1,485.00",1,Ninguno,"34,452.00",Fabiola Hernandez Coronel
Pedido,                3882,       289,GD COMERCIALIZADORA SURESTE,Remitido,1251,07/01/2026,"60,680.00","3,034.00",1,Ninguno,"70,388.80",Fabiola Hernandez Coronel
Pedido,                3883,       271,GD COMERCIALIZADORA NOROESTE,Remitido,1252,07/01/2026,"101,170.00","5,058.50",1,Ninguno,"117,357.20",Fabiola Hernandez Coronel
Pedido,                3884,       289,GD COMERCIALIZADORA SURESTE,Remitido,1253,07/01/2026,"124,640.00","6,232.00",1,Ninguno,"144,582.40",Fabiola Hernandez Coronel
Pedido,                3876,       289,GD COMERCIALIZADORA SURESTE,Remitido,1245,07/01/2026,"43,710.00","2,185.50",1,Ninguno,"50,703.60",Fabiola Hernandez Coronel
Pedido,                3851,       289,GD COMERCIALIZADORA SURESTE,Remitido,1156,07/01/2026,"20,880.00","1,044.00",1,Impreso,"24,220.80",Fabiola Hernandez Coronel
Pedido,                3877,       289,GD COMERCIALIZADORA SURESTE,Remitido,1246,07/01/2026,"148,320.00","7,416.00",1,Ninguno,"172,051.20",Fabiola Hernandez Coronel
Pedido,                3878,       289,GD COMERCIALIZADORA SURESTE,Remitido,1247,07/01/2026,"26,040.00","1,302.00",1,Ninguno,"30,206.40",Fabiola Hernandez Coronel
Pedido,                3879,       289,GD COMERCIALIZADORA SURESTE,Remitido,1248,07/01/2026,"23,200.00","1,160.00",1,Ninguno,"26,912.00",Fabiola Hernandez Coronel
Pedido,                3845,       289,GD COMERCIALIZADORA SURESTE,Remitido,1126,07/01/2026,"95,120.00","4,756.00",1,Impreso,"110,339.20",Fabiola Hernandez Coronel
Pedido,                3840,       289,GD COMERCIALIZADORA SURESTE,Remitido,1121,07/01/2026,"51,170.00","2,558.50",1,Impreso,"59,357.20",Fabiola Hernandez Coronel
Pedido,                3850,       289,GD COMERCIALIZADORA SURESTE,Remitido,1155,07/01/2026,"304,410.00","15,220.50",1,Impreso,"353,115.60",Fabiola Hernandez Coronel
Pedido,                3860,       289,GD COMERCIALIZADORA SURESTE,Remitido,1165,07/01/2026,"23,520.00","1,176.00",1,Impreso,"27,283.20",Fabiola Hernandez Coronel
Pedido,                3841,       289,GD COMERCIALIZADORA SURESTE,Remitido,1122,07/01/2026,"28,917.50","1,445.88",1,Impreso,"33,544.30",Fabiola Hernandez Coronel
Pedido,                3839,       289,GD COMERCIALIZADORA SURESTE,Remitido,1120,07/01/2026,"195,562.50","9,778.13",1,Impreso,"226,852.50",Fabiola Hernandez Coronel
Pedido,                3849,       289,GD COMERCIALIZADORA SURESTE,Remitido,1130,07/01/2026,"40,640.00","2,032.00",1,Impreso,"47,142.40",Fabiola Hernandez Coronel
Pedido,                3859,       289,GD COMERCIALIZADORA SURESTE,Remitido,1164,07/01/2026,"128,760.00","6,438.00",1,Impreso,"149,361.60",Fabiola Hernandez Coronel
Pedido,                3870,       289,GD COMERCIALIZADORA SURESTE,Remitido,1239,07/01/2026,"27,120.00","1,356.00",1,Ninguno,"31,459.20",Fabiola Hernandez Coronel
Pedido,                3872,       289,GD COMERCIALIZADORA SURESTE,Remitido,1241,07/01/2026,"66,880.00","3,344.00",1,Ninguno,"77,580.80",Fabiola Hernandez Coronel
Pedido,                3873,       289,GD COMERCIALIZADORA SURESTE,Remitido,1242,07/01/2026,"30,700.00","1,535.00",1,Ninguno,"35,612.00",Fabiola Hernandez Coronel
Pedido,                3874,       289,GD COMERCIALIZADORA SURESTE,Remitido,1243,07/01/2026,"56,240.00","2,812.00",1,Ninguno,"65,238.40",Fabiola Hernandez Coronel
Pedido,                3875,       289,GD COMERCIALIZADORA SURESTE,Remitido,1244,07/01/2026,"26,100.00","1,305.00",1,Ninguno,"30,276.00",Fabiola Hernandez Coronel
Pedido,                3837,        18,DELMAN INTERNACIONAL,Remitido,OP.19804/OC.16419,07/01/2026,"5,454.80",0.00,1,Ninguno,"6,327.57",Luis de León
Pedido,                3868,       289,GD COMERCIALIZADORA SURESTE,Remitido,1237,07/01/2026,"333,905.00","16,695.25",1,Ninguno,"387,329.80",Fabiola Hernandez Coronel
Pedido,                3869,       289,GD COMERCIALIZADORA SURESTE,Remitido,1238,07/01/2026,"27,120.00","1,356.00",1,Ninguno,"31,459.20",Fabiola Hernandez Coronel
Pedido,                3862,       289,GD COMERCIALIZADORA SURESTE,Cancelado,1167,07/01/2026,"87,420.00","4,371.00",1,Impreso,"101,407.20",Fabiola Hernandez Coronel
Pedido,                3888,        18,DELMAN INTERNACIONAL,Remitido,OP.19770/OC.16433,08/01/2026,"12,433.40",0.00,1,Impreso,"14,422.74",Luis de León
Pedido,                3890,       300,JAVIER HERNANDEZ FLORES,Remitido,,08/01/2026,"93,123.89","4,656.19",1,Impreso,"108,023.71",Oscar Mejia
Pedido,                3886,       334,RECICLADOS DE CARTON Y PAPEL,Remitido,,08/01/2026,"76,591.99",0.00,1,Impreso,"76,591.99",
Pedido,                3889,       312,INFORMACION INTEGRAL 24/7,Remitido,28,08/01/2026,"13,312.00",0.00,1,Impreso,"15,441.92",
Pedido,                3887,       289,GD COMERCIALIZADORA SURESTE,Remitido,1276,08/01/2026,"40,640.00","2,032.00",1,Ninguno,"47,142.40",Fabiola Hernandez Coronel
Pedido,                3901,       307,CHEDRAUI BRANDS,Cancelado,"1371, 1370, 1369",09/01/2026,"184,663.00",0.00,1,Impreso,"214,209.08",
Pedido,                3891,        18,DELMAN INTERNACIONAL,Pend.Cancelado,OP.19799/OC.16462,09/01/2026,"28,529.80",0.00,1,Impreso,"33,094.57",Luis de León
Pedido,                3900,       307,CHEDRAUI BRANDS,Remitido,"1321, 1322, 1342",09/01/2026,"134,247.00",0.00,1,Impreso,"155,726.52",
Pedido,                3892,        18,DELMAN INTERNACIONAL,Remitido,OP.19793/OC.16463,09/01/2026,"12,230.40",0.00,1,Impreso,"14,187.26",Luis de León
Pedido,                3893,       311,INFORMA A PUEBLA,Emitido,30,09/01/2026,"5,880.00",0.00,1,Impreso,"6,820.80",
Pedido,                3894,       311,INFORMA A PUEBLA,Emitido,31,09/01/2026,"5,880.00",0.00,1,Impreso,"6,820.80",
Pedido,                3895,       312,INFORMACION INTEGRAL 24/7,Remitido,32,09/01/2026,"13,312.00",0.00,1,Impreso,"15,441.92",
Pedido,                3896,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,1374,09/01/2026,"38,545.00","1,927.25",1,Impreso,"44,712.20",Oscar Mejia
Pedido,                3897,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,1375,09/01/2026,"23,108.00","1,155.40",1,Impreso,"26,805.28",Oscar Mejia
Pedido,                3898,       307,CHEDRAUI BRANDS,Remitido,"1301, 1302",09/01/2026,"130,071.00",0.00,1,Impreso,"150,882.36",
Pedido,                3899,       307,CHEDRAUI BRANDS,Remitido,"1319, 1320, 1339",09/01/2026,"147,095.00",0.00,1,Impreso,"170,630.20",
Pedido,                3902,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,7,12/01/2026,"180,810.00","9,040.50",1,Impreso,"209,739.60",Fabiola Hernandez Coronel
Pedido,                3903,       271,GD COMERCIALIZADORA NOROESTE,Remitido,11,12/01/2026,"138,570.00","6,928.50",1,Impreso,"160,741.20",Fabiola Hernandez Coronel
Pedido,                3904,       289,GD COMERCIALIZADORA SURESTE,Remitido,19,12/01/2026,"106,400.00","5,320.00",1,Impreso,"123,424.00",Fabiola Hernandez Coronel
Pedido,                3905,        18,DELMAN INTERNACIONAL,Remitido,OP.19809/OC.16464,12/01/2026,"6,676.80",0.00,1,Impreso,"7,745.09",Luis de León
Pedido,                3906,        18,DELMAN INTERNACIONAL,Remitido,OP.19800/OC.16465,12/01/2026,"28,515.50",0.00,1,Impreso,"33,077.98",Luis de León
Pedido,                3907,        18,DELMAN INTERNACIONAL,Emitido,OP.19806/OC.16466,12/01/2026,"25,019.40",0.00,1,Impreso,"29,022.50",Luis de León
Pedido,                3910,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,1380,13/01/2026,"19,033.17",951.66,1,Impreso,"22,078.48",Oscar Mejia
Pedido,                3911,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,1378,13/01/2026,"44,395.00","2,219.75",1,Impreso,"51,498.20",Oscar Mejia
Pedido,                3912,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,1381,13/01/2026,"25,934.00","1,296.70",1,Impreso,"30,083.44",Oscar Mejia
Pedido,                3913,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,1383,13/01/2026,"18,618.00",930.90,1,Impreso,"21,596.88",Oscar Mejia
Pedido,                3908,       312,INFORMACION INTEGRAL 24/7,Remitido,33,13/01/2026,"13,312.00",0.00,1,Impreso,"15,441.92",
Pedido,                3909,       312,INFORMACION INTEGRAL 24/7,Remitido,41,13/01/2026,"13,312.00",0.00,1,Impreso,"15,441.92",
Pedido,                3915,       312,INFORMACION INTEGRAL 24/7,Remitido,42,14/01/2026,"13,312.00",0.00,1,Impreso,"15,441.92",
Pedido,                3914,       312,INFORMACION INTEGRAL 24/7,Emitido,"1394, 2,22,27,28,16",14/01/2026,"143,104.00",0.00,1,Impreso,"166,000.64",
Pedido,                3932,        18,DELMAN INTERNACIONAL,Remitido,OP.19821/OC.16484,15/01/2026,"5,547.10",0.00,1,Impreso,"6,434.64",Luis de León
Pedido,                3926,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,10,15/01/2026,"40,640.00","2,032.00",1,Impreso,"47,142.40",Fabiola Hernandez Coronel
Pedido,                3930,        18,DELMAN INTERNACIONAL,Remitido,OP.19803/OC.16418,15/01/2026,"5,385.90",0.00,1,Impreso,"6,247.64",Luis de León
Pedido,                3931,       312,INFORMACION INTEGRAL 24/7,Remitido,44,15/01/2026,"13,312.00",0.00,1,Impreso,"15,441.92",
Pedido,                3923,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,13,15/01/2026,"60,680.00","3,034.00",1,Impreso,"70,388.80",Fabiola Hernandez Coronel
Pedido,                3924,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,12,15/01/2026,"29,700.00","1,485.00",1,Impreso,"34,452.00",Fabiola Hernandez Coronel
Pedido,                3925,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,4,15/01/2026,"51,520.00","2,576.00",1,Impreso,"59,763.20",Fabiola Hernandez Coronel
Pedido,                3928,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,8,15/01/2026,"70,080.00","3,504.00",1,Impreso,"81,292.80",Fabiola Hernandez Coronel
Pedido,                3929,       158,EDITORIAL ESFINGE,Remitido,3,15/01/2026,"264,000.00",0.00,1,Impreso,"306,240.00",
Pedido,                3921,        18,DELMAN INTERNACIONAL,Remitido,OP.19792/OC.16469,15/01/2026,"16,769.20",0.00,1,Ninguno,"19,452.27",Luis de León
Pedido,                3920,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,16,15/01/2026,"167,900.00","8,395.00",1,Impreso,"194,764.00",Fabiola Hernandez Coronel
Pedido,                3922,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,14,15/01/2026,"23,200.00","1,160.00",1,Impreso,"26,912.00",Fabiola Hernandez Coronel
Pedido,                3916,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,5,15/01/2026,"30,800.00","1,540.00",1,Impreso,"35,728.00",Fabiola Hernandez Coronel
Pedido,                3917,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,6,15/01/2026,"102,480.00","5,124.00",1,Impreso,"118,876.80",Fabiola Hernandez Coronel
Pedido,                3918,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,9,15/01/2026,"84,000.00","4,200.00",1,Impreso,"97,440.00",Fabiola Hernandez Coronel
Pedido,                3919,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,15,15/01/2026,"30,750.00","1,537.50",1,Impreso,"35,670.00",Fabiola Hernandez Coronel
Pedido,                3927,        18,DELMAN INTERNACIONAL,Remitido,OP.19807/OC.16461,15/01/2026,400.00,0.00,1,Ninguno,464.00,Luis de León
Pedido,                3950,       307,CHEDRAUI BRANDS,Remitido,43,16/01/2026,"9,750.00",0.00,2,Impreso,"11,310.00",
Pedido,                3935,       307,CHEDRAUI BRANDS,Cancelado,34,16/01/2026,"42,240.00",0.00,1,Impreso,"48,998.40",
Pedido,                3936,       307,CHEDRAUI BRANDS,Cancelado,35,16/01/2026,"57,921.00",0.00,1,Impreso,"67,188.36",
Pedido,                3937,       307,CHEDRAUI BRANDS,Cancelado,36,16/01/2026,"34,086.00",0.00,1,Impreso,"39,539.76",
Pedido,                3942,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,26,16/01/2026,"105,750.00","5,287.50",1,Impreso,"122,670.00",Fabiola Hernandez Coronel
Pedido,                3943,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,25,16/01/2026,"105,750.00","5,287.50",1,Impreso,"122,670.00",Fabiola Hernandez Coronel
Pedido,                3944,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,24,16/01/2026,"831,680.00","41,584.00",1,Impreso,"964,748.80",Fabiola Hernandez Coronel
Pedido,                3940,       289,GD COMERCIALIZADORA SURESTE,Remitido,20,16/01/2026,"27,000.00","1,350.00",1,Impreso,"31,320.00",Fabiola Hernandez Coronel
Pedido,                3941,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,21,16/01/2026,"33,900.00","1,695.00",1,Impreso,"39,324.00",Fabiola Hernandez Coronel
Pedido,                3951,       312,INFORMACION INTEGRAL 24/7,Remitido,52,16/01/2026,"20,280.00",0.00,1,Impreso,"23,524.80",
Pedido,                3952,       311,INFORMA A PUEBLA,Emitido,51,16/01/2026,"6,750.00",0.00,1,Impreso,"7,830.00",
Pedido,                3933,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,1382,16/01/2026,"26,898.00","1,344.90",1,Impreso,"31,201.68",Oscar Mejia
Pedido,                3934,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,1379,16/01/2026,"20,368.00","1,018.40",1,Impreso,"23,626.88",Oscar Mejia
Pedido,                3945,       158,EDITORIAL ESFINGE,Remitido,40,16/01/2026,"436,000.00",0.00,1,Impreso,"505,760.00",
Pedido,                3946,       158,EDITORIAL ESFINGE,Remitido,39,16/01/2026,"269,100.00",0.00,1,Impreso,"312,156.00",
Pedido,                3947,       158,EDITORIAL ESFINGE,Remitido,38,16/01/2026,"292,490.00",0.00,1,Impreso,"339,288.40",
Pedido,                3938,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,17,16/01/2026,"26,400.00","1,320.00",1,Impreso,"30,624.00",Fabiola Hernandez Coronel
Pedido,                3948,       158,EDITORIAL ESFINGE,Remitido,37,16/01/2026,"204,000.00",0.00,1,Impreso,"236,640.00",
Pedido,                3939,       270,GD COMERCIALIZADORA DEL BAJIO,Remitido,18,16/01/2026,"31,200.00","1,560.00",1,Impreso,"36,192.00",Fabiola Hernandez Coronel
Pedido,                3949,       311,INFORMA A PUEBLA,Emitido,"1399,30,31",16/01/2026,"2,610.00",0.00,1,Impreso,"3,027.60",
Pedido,                3953,       312,INFORMACION INTEGRAL 24/7,Remitido,54,19/01/2026,"20,280.00",0.00,1,Impreso,"23,524.80",
Pedido,                3954,       290,REGISTRO EXACTO,Remitido,53,19/01/2026,"26,620.00","1,331.00",1,Impreso,"30,879.20",Oscar Mejia
Pedido,                3955,       158,EDITORIAL ESFINGE,Remitido,55,20/01/2026,"6,000.00",0.00,1,Impreso,"6,960.00",
Pedido,                3956,MOSTR,MOSTRADOR.,Remitido,,20/01/2026,"212,240.12",0.00,1,Impreso,"246,198.54",
Pedido,                3957,       312,INFORMACION INTEGRAL 24/7,Remitido,56,20/01/2026,"20,280.00",0.00,1,Impreso,"23,524.80",
Pedido,                3958,       312,INFORMACION INTEGRAL 24/7,Remitido,57,21/01/2026,"20,280.00",0.00,1,Impreso,"23,524.80",
Pedido,                3960,        18,DELMAN INTERNACIONAL,Remitido,OP.19796/OC.16501,22/01/2026,"8,551.20",0.00,1,Impreso,"9,919.39",Luis de León
Pedido,                3961,        18,DELMAN INTERNACIONAL,Remitido,OP.19822/OC.16502,22/01/2026,"5,014.80",0.00,1,Impreso,"5,817.17",Luis de León
Pedido,                3959,        18,DELMAN INTERNACIONAL,Remitido,OP.19794/OC.16497,22/01/2026,"19,076.40",0.00,1,Impreso,"22,128.62",Luis de León
Pedido,                3962,        18,DELMAN INTERNACIONAL,Remitido,OP.19810/OC.16521,22/01/2026,"36,624.00",0.00,1,Ninguno,"42,483.84",Luis de León
Pedido,                3963,       312,INFORMACION INTEGRAL 24/7,Remitido,59,22/01/2026,"20,280.00",0.00,1,Impreso,"23,524.80",
Pedido,                3964,       311,INFORMA A PUEBLA,Cancelado,60,23/01/2026,"6,750.00",0.00,1,Impreso,"7,830.00",
Pedido,                3965,       312,INFORMACION INTEGRAL 24/7,Remitido,61,23/01/2026,"20,280.00",0.00,1,Impreso,"23,524.80",
Pedido,                3966,       312,INFORMACION INTEGRAL 24/7,Remitido,63,26/01/2026,"20,280.00",0.00,2,Impreso,"23,524.80",
Pedido,                3967,        18,DELMAN INTERNACIONAL,Remitido,OP.19795/OC.16537,27/01/2026,"15,013.60",0.00,3,Impreso,"17,415.78",Luis de León
Pedido,                3968,       312,INFORMACION INTEGRAL 24/7,Remitido,65,27/01/2026,"20,280.00",0.00,2,Impreso,"23,524.80",
Pedido,                3969,        18,DELMAN INTERNACIONAL,Remitido,OP.19817/OC.16536,27/01/2026,"42,012.60",0.00,3,Impreso,"48,734.62",Luis de León
Pedido,                3980,        18,DELMAN INTERNACIONAL,Remitido,OP.19827/OC.16575,28/01/2026,568.00,0.00,3,Impreso,658.88,Luis de León
Pedido,                3974,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,46,28/01/2026,"22,011.75","1,100.59",2,Impreso,"25,533.63",Oscar Mejia
Pedido,                3975,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,47,28/01/2026,"20,956.90","1,047.85",2,Impreso,"24,310.00",Oscar Mejia
Pedido,                3976,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,48,28/01/2026,"22,490.90","1,124.55",2,Impreso,"26,089.44",Oscar Mejia
Pedido,                3977,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,49,28/01/2026,"19,394.50",969.73,2,Impreso,"22,497.62",Oscar Mejia
Pedido,                3978,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,50,28/01/2026,"8,210.50",410.53,2,Impreso,"9,524.18",Oscar Mejia
Pedido,                3979,       312,INFORMACION INTEGRAL 24/7,Remitido,79,28/01/2026,"20,280.00",0.00,2,Impreso,"23,524.80",
Pedido,                3971,       267,EDITORIAL ESPACIOS DINAMICOS,Remitido,62,28/01/2026,"78,540.00","3,927.00",2,Impreso,"91,106.40",Elias Mendoza Jimenez
Pedido,                3972,       267,EDITORIAL ESPACIOS DINAMICOS,Remitido,64,28/01/2026,"108,290.00","5,414.50",2,Impreso,"125,616.40",Elias Mendoza Jimenez
Pedido,                3973,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,45,28/01/2026,"11,814.90",590.75,2,Impreso,"13,705.28",Oscar Mejia
Pedido,                3970,        18,DELMAN INTERNACIONAL,Remitido,OP.19825/OC.16540,28/01/2026,400.00,0.00,3,Ninguno,464.00,Luis de León
Pedido,                3981,        18,DELMAN INTERNACIONAL,Remitido,OP.19826/OC.16577,29/01/2026,"3,418.80",0.00,3,Impreso,"3,965.81",Luis de León
Pedido,                3982,       312,INFORMACION INTEGRAL 24/7,Remitido,82,29/01/2026,"20,280.00",0.00,2,Impreso,"23,524.80",
Pedido,                3983,       311,INFORMA A PUEBLA,Remitido,60,30/01/2026,"9,600.00",0.00,2,Impreso,"11,136.00",
Pedido,                3984,       311,INFORMA A PUEBLA,Remitido,84,30/01/2026,"9,600.00",0.00,2,Impreso,"11,136.00",
Pedido,                3985,       312,INFORMACION INTEGRAL 24/7,Remitido,85,30/01/2026,"20,475.00",0.00,2,Impreso,"23,751.00",
Pedido,                3987,       158,EDITORIAL ESFINGE,Remitido,83,03/02/2026,"128,100.00",0.00,2,Impreso,"148,596.00",
Pedido,                3988,        18,DELMAN INTERNACIONAL,Remitido,OP.19814/OC.16579,03/02/2026,"11,487.00",0.00,3,Impreso,"13,324.92",Luis de León
Pedido,                3986,       312,INFORMACION INTEGRAL 24/7,Remitido,98,03/02/2026,"20,475.00",0.00,2,Ninguno,"23,751.00",
Pedido,                3993,       307,CHEDRAUI BRANDS,Cancelado,66,04/02/2026,"39,600.00",0.00,2,Impreso,"45,936.00",
Pedido,                3994,       307,CHEDRAUI BRANDS,Cancelado,67,04/02/2026,"53,431.00",0.00,2,Impreso,"61,979.96",
Pedido,                3995,       307,CHEDRAUI BRANDS,Cancelado,68,04/02/2026,"41,268.00",0.00,2,Impreso,"47,870.88",
